Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ba6Hf2Zn2Ni6O24,Ba,Zn,,Ni,Hf,,O,5,,,,,,396.8833354,-1.010474046
Ba6Ho2Fe8O24,Ba,Ho,,Fe,,,O,4,,,,,,129.1284141,-1.551884538
Ba6La2Fe4Co4O24,Ba,La,,Fe,Co,,O,5,,,,,,100.9711205,-1.469495996
Ba6La2Fe6Co2O24,Ba,La,,Fe,Co,,O,5,,,,,,89.72129861,-1.540573317
Ba6La2Fe7Co1O24,Ba,La,,Fe,Co,,O,5,,,,,,73.01999556,-1.574778102
Ba6La2Fe8O24,Ba,La,,Fe,,,O,4,,,,,,60.35669252,-1.604944888
Ba6La2Mn2Fe6O24,Ba,La,,Mn,Fe,,O,5,,,,,,69.97238548,-1.647652838
Ba6Mg2Fe8O24,Ba,Mg,,Fe,,,O,4,,,,,,236.664682,-1.277804499
Ba6Mn6Nb2Zn2O24,Ba,Zn,,Mn,Nb,,O,5,,,,,,193.7216936,-1.599268589
Ba6Mn8Zn2O24,Ba,Zn,,Mn,,,O,4,,,,,,276.2173687,-1.266850675
Ba6Nb2Zn2Co6O24,Ba,Zn,,Co,Nb,,O,5,,,,,,210.3752063,-1.319230776
Ba6Nb2Zn2Fe6O24,Ba,Zn,,Fe,Nb,,O,5,,,,,,214.1857524,-1.505804989
Ba6Nb2Zn2Ni6O24,Ba,Zn,,Ni,Nb,,O,5,,,,,,346.9129011,-0.993676683
Ba6Nd2Fe8O24,Ba,Nd,,Fe,,,O,4,,,,,,73.92834539,-1.578761707
Ba6Pr2Fe8O24,Ba,Pr,,Fe,,,O,4,,,,,,67.13987502,-1.581496905
Ba6Sm2Fe8O24,Ba,Sm,,Fe,,,O,4,,,,,,88.11493139,-1.571391817
Ba6Sn1La1Fe8O24,Ba,Sn,La,Fe,,,O,5,,,,,,158.4270431,-1.429086308
Ba6Sn2Fe8O24,Ba,Sn,,Fe,,,O,4,,,,,,283.9064534,-1.213067479
Ba6Sn2Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,,,,,,3.509828563,-2.581108771
Ba6Sn2Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,,,,,,52.48224456,-2.513603395
Ba6Sr2Fe8O24,Ba,Sr,,Fe,,,O,4,,,,,,84.20250562,-1.440478162
Ba6Ta2Mn6Zn2O24,Ba,Zn,,Mn,Ta,,O,5,,,,,,193.037892,-1.651939435
Ba6Ta2Zn2Co6O24,Ba,Zn,,Co,Ta,,O,5,,,,,,200.2688814,-1.377182623
Ba6Ta2Zn2Fe6O24,Ba,Zn,,Fe,Ta,,O,5,,,,,,182.1290329,-1.563465835
Ba6Ta2Zn2Ni6O24,Ba,Zn,,Ni,Ta,,O,5,,,,,,340.4894741,-1.063905279
Ba6Ti2Mn6Zn2O24,Ba,Zn,,Mn,Ti,,O,5,,,,,,209.6344128,-1.589827507
Ba6Ti2Zn2Co6O24,Ba,Zn,,Co,Ti,,O,5,,,,,,222.9273207,-1.310175945
Ba6Ti2Zn2Fe6O24,Ba,Zn,,Fe,Ti,,O,5,,,,,,241.5377029,-1.468941407
Ba6Ti2Zn2Ni6O24,Ba,Zn,,Ni,Ti,,O,5,,,,,,388.3951794,-0.970351601
Ba6Zn2Co8O24,Ba,Zn,,Co,,,O,4,,,,,,249.5494434,-0.922120842
Ba6Zn2Fe8O24,Ba,Zn,,Fe,,,O,4,,,,,,239.2147742,-1.147953875
Ba6Zn2Ni8O24,Ba,Zn,,Ni,,,O,4,,,,,,407.1471861,-0.488125467
Ba6Zr2Mn6Zn2O24,Ba,Zn,,Mn,Zr,,O,5,,,,,,201.4021128,-1.635006951
Ba6Zr2Zn2Co6O24,Ba,Zn,,Co,Zr,,O,5,,,,,,218.8005706,-1.345427638
Ba6Zr2Zn2Fe6O24,Ba,Zn,,Fe,Zr,,O,5,,,,,,296.5012103,-1.431754351
Ba6Zr2Zn2Ni6O24,Ba,Zn,,Ni,Zr,,O,5,,,,,,344.7992754,-1.025327295
Ba7Bi1Fe8O24,Ba,Bi,,Fe,,,O,4,,,,,,100.9492247,-1.354820188
Ba7Bi1Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,,,,,,0,-2.660210354
Ba7Ca1Fe8O24,Ba,Ca,,Fe,,,O,4,,,,,,97.86627057,-1.4233278
Ba7Cd1Fe8O24,Ba,Cd,,Fe,,,O,4,,,,,,126.8863121,-1.29727375
Ba7Cd1Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,,,,,,0,-2.672813042
Ba7Cd1Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,,,,,,22.47840028,-2.593572416
Ba7Ce1Fe8O24,Ba,Ce,,Fe,,,O,4,,,,,,87.31329665,-1.537711989
Ba7Dy1Fe8O24,Ba,Dy,,Fe,,,O,4,,,,,,95.14422461,-1.495320786
Ba7Gd1Fe8O24,Ba,Gd,,Fe,,,O,4,,,,,,83.92079694,-1.498837422
Ba7Ho1Fe8O24,Ba,Ho,,Fe,,,O,4,,,,,,99.06622089,-1.492766322
Ba7La1Fe4Co4O24,Ba,La,,Fe,Co,,O,5,,,,,,111.4422938,-1.381836855
Ba7La1Fe6Co2O24,Ba,La,,Fe,Co,,O,5,,,,,,97.04621619,-1.451923676
Ba7La1Fe7Co1O24,Ba,La,,Fe,Co,,O,5,,,,,,86.04966315,-1.480423711
Ba7La1Fe8O24,Ba,La,,Fe,,,O,4,,,,,,66.0766101,-1.517900247
Ba7Mg1Fe8O24,Ba,Mg,,Fe,,,O,4,,,,,,156.2297298,-1.352330927
Ba7Mn8Zn1O24,Ba,Zn,,Mn,,,O,4,,,,,,202.0924573,-1.416259415
Ba7Nd1Fe8O24,Ba,Nd,,Fe,,,O,4,,,,,,71.90056154,-1.505770531
Ba7Pr1Fe8O24,Ba,Pr,,Fe,,,O,4,,,,,,68.67920135,-1.506965255
Ba7Sm1Fe8O24,Ba,Sm,,Fe,,,O,4,,,,,,78.67122954,-1.502408211
Ba7Sn1Fe8O24,Ba,Sn,,Fe,,,O,4,,,,,,185.4042107,-1.320784417
Ba7Sn1Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,,,,,,0,-2.700424459
Ba7Sn1Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,,,,,,21.17208738,-2.631881583
Ba7Sr1Fe8O24,Ba,Sr,,Fe,,,O,4,,,,,,80.73776665,-1.432928634
Ba7Sr1Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,87.78436313,-1.452043859
Ba7Sr1Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,,,,,,93.67170962,-1.472318334
Ba7Zn1Co8O24,Ba,Zn,,Co,,,O,4,,,,,,177.2830204,-1.056878082
Ba7Zn1Fe8O24,Ba,Zn,,Fe,,,O,4,,,,,,150.3710259,-1.294539365
Ba7Zn1Ni8O24,Ba,Zn,,Ni,,,O,4,,,,,,325.4978877,-0.613376457
Ba8Al1Fe7O24,Ba,,,Al,Fe,,O,4,,,,,,113.1353022,-1.495843666
Ba8Al2Fe6O24,Ba,,,Al,Fe,,O,4,,,,,,136.3160768,-1.578989726
Ba8Al4Fe4O24,Ba,,,Al,Fe,,O,4,,,,,,175.3796258,-1.752579846
Ba8Al6Fe2O24,Ba,,,Al,Fe,,O,4,,,,,,201.8175651,-1.936929466
Ba8Al8O24,Ba,,,Al,,,O,3,,,,,,227.4912848,-2.118311086
Ba8Co6Ni2O24,Ba,,,Co,Ni,,O,4,,,,,,191.113049,-1.055268041
Ba8Co7Ni1O24,Ba,,,Co,Ni,,O,4,,,,,,159.1177049,-1.112290932
Ba8Co8O24,Ba,,,Co,,,O,3,,,,,,124.5421108,-1.171894073
Ba8Cr8O24,Ba,,,Cr,,,O,3,,,,,,15.00782838,-1.809455134
Ba8Cu8O24,Ba,,,Cu,,,O,3,,,,,,274.349274,-0.809151966
Ba8Fe1Co7O24,Ba,,,Fe,Co,,O,4,,,,,,133.0303249,-1.193319608
Ba8Fe1Ni7O24,Ba,,,Fe,Ni,,O,4,,,,,,217.2528239,-0.834980124
Ba8Fe2Co6O24,Ba,,,Fe,Co,,O,4,,,,,,120.4137889,-1.235849893
Ba8Fe2Cu6O24,Ba,,,Fe,Cu,,O,4,,,,,,237.5212748,-0.955955376
Ba8Fe2Nb1Co5O24,Ba,,,Fe,Nb,Co,O,5,,,,,,122.3113557,-1.422003611
Ba8Fe2Ni6O24,Ba,,,Fe,Ni,,O,4,,,,,,202.2698084,-0.91972005
Ba8Fe4Co4O24,Ba,,,Fe,Co,,O,4,,,,,,123.9359671,-1.292155214
Ba8Fe4Cu4O24,Ba,,,Fe,Cu,,O,4,,,,,,198.0618591,-1.098473286
Ba8Fe4Ir4O24,Ba,,,Fe,Ir,,O,4,,,,,,0,-1.416635672
Ba8Fe4Mo4O24,Ba,,,Fe,Mo,,O,4,,,,,,347.3831,-1.442927714
Ba8Fe4Ni4O24,Ba,,,Fe,Ni,,O,4,,,,,,174.0602775,-1.087443402
Ba8Fe4Os4O24,Ba,,,Fe,Os,,O,4,,,,,,0,-1.52134385
Ba8Fe4Pd4O24,Ba,,,Fe,Pd,,O,4,,,,,,41.60128787,-1.224044786
Ba8Fe4Pt4O24,Ba,,,Fe,Pt,,O,4,,,,,,9.796766169,-1.309194198
Ba8Fe4Re4O24,Ba,,,Fe,Re,,O,4,,,,,,0.678471,-1.762229139
Ba8Fe4Rh4O24,Ba,,,Fe,Rh,,O,4,,,,,,7.487661938,-1.377199129
Ba8Fe4Ru4O24,Ba,,,Fe,Ru,,O,4,,,,,,0,-1.51299853
Ba8Fe4Tc4O24,Ba,,,Fe,Tc,,O,4,,,,,,0,-1.710742351
Ba8Fe6Co2O24,Ba,,,Fe,Co,,O,4,,,,,,108.5373838,-1.359107785
Ba8Fe6Cu2O24,Ba,,,Fe,Cu,,O,4,,,,,,134.1806934,-1.265412946
Ba8Fe6Ir2O24,Ba,,,Fe,Ir,,O,4,,,,,,0,-1.445805264
Ba8Fe6Mo2O24,Ba,,,Fe,Mo,,O,4,,,,,,179.2587231,-1.50189466
Ba8Fe6Ni2O24,Ba,,,Fe,Ni,,O,4,,,,,,137.4796526,-1.244598254
Ba8Fe6Os2O24,Ba,,,Fe,Os,,O,4,,,,,,29.45910878,-1.538052103
Ba8Fe6Pd2O24,Ba,,,Fe,Pd,,O,4,,,,,,69.28696139,-1.318395696
Ba8Fe6Pt2O24,Ba,,,Fe,Pt,,O,4,,,,,,49.34328566,-1.366212652
Ba8Fe6Re2O24,Ba,,,Fe,Re,,O,4,,,,,,5.900961165,-1.689878372
Ba8Fe6Rh2O24,Ba,,,Fe,Rh,,O,4,,,,,,36.52821981,-1.407141242
Ba8Fe6Ru2O24,Ba,,,Fe,Ru,,O,4,,,,,,12.9458568,-1.490029693
Ba8Fe6Tc2O24,Ba,,,Fe,Tc,,O,4,,,,,,0,-1.636077103
Ba8Fe7Co1O24,Ba,,,Fe,Co,,O,4,,,,,,91.46208074,-1.39368657
Ba8Fe7Cu1O24,Ba,,,Fe,Cu,,O,4,,,,,,103.8011105,-1.347321776
Ba8Fe7Ir1O24,Ba,,,Fe,Ir,,O,4,,,,,,32.0094037,-1.441287185
Ba8Fe7Mo1O24,Ba,,,Fe,Mo,,O,4,,,,,,127.6818842,-1.464524883
Ba8Fe7Ni1O24,Ba,,,Fe,Ni,,O,4,,,,,,114.7543401,-1.32761068
Ba8Fe7Os1O24,Ba,,,Fe,Os,,O,4,,,,,,34.7342257,-1.502512229
Ba8Fe7Pd1O24,Ba,,,Fe,Pd,,O,4,,,,,,75.87824454,-1.369289151
Ba8Fe7Pt1O24,Ba,,,Fe,Pt,,O,4,,,,,,63.68903168,-1.395415004
Ba8Fe7Re1O24,Ba,,,Fe,Re,,O,4,,,,,,30.40327127,-1.573339364
Ba8Fe7Rh1O24,Ba,,,Fe,Rh,,O,4,,,,,,56.15299875,-1.417007799
Ba8Fe7Ru1O24,Ba,,,Fe,Ru,,O,4,,,,,,36.36319225,-1.466450649
Ba8Fe7Tc1O24,Ba,,,Fe,Tc,,O,4,,,,,,0,-1.545820105
Ba8Fe8O24,Ba,,,Fe,,,O,3,,,,,,77.29127769,-1.425360856
Ba8Ga1Fe7O24,Ba,,,Ga,Fe,,O,4,,,,,,102.0364363,-1.437099348
Ba8Ga2Fe6O24,Ba,,,Ga,Fe,,O,4,,,,,,128.3643449,-1.447255089
Ba8Ga4Fe4O24,Ba,,,Ga,Fe,,O,4,,,,,,182.7409121,-1.465845823
Ba8Ga6Fe2O24,Ba,,,Ga,Fe,,O,4,,,,,,238.3342292,-1.483219807
Ba8Ga8O24,Ba,,,Ga,,,O,3,,,,,,278.3077818,-1.513289541
Ba8Hf1Fe7O24,Ba,,,Hf,Fe,,O,4,,,,,,73.49782973,-1.61823072
Ba8Hf1Zr6Fe1O24,Ba,,,Hf,Zr,Fe,O,5,,,,,,0,-2.737824648
Ba8Hf2Fe6O24,Ba,,,Hf,Fe,,O,4,,,,,,71.44563177,-1.809359333
Ba8Hf2Zr5Fe1O24,Ba,,,Hf,Zr,Fe,O,5,,,,,,0,-2.748078523
Ba8Hf4Co4O24,Ba,,,Hf,Co,,O,4,,,,,,131.3501524,-2.02449967
Ba8Hf4Fe4O24,Ba,,,Hf,Fe,,O,4,,,,,,63.04573585,-2.195912061
Ba8Hf4Ni4O24,Ba,,,Hf,Ni,,O,4,,,,,,177.4418037,-1.838971357
Ba8Hf4Zr3Fe1O24,Ba,,,Hf,Zr,Fe,O,5,,,,,,1.167639961,-2.769420525
Ba8Hf6Co2O24,Ba,,,Hf,Co,,O,4,,,,,,70.2166732,-2.515339968
Ba8Hf6Fe2O24,Ba,,,Hf,Fe,,O,4,,,,,,38.74908992,-2.598361539
Ba8Hf6Ni2O24,Ba,,,Hf,Ni,,O,4,,,,,,96.85869836,-2.420450187
Ba8Hf7Co1O24,Ba,,,Hf,Co,,O,4,,,,,,45.7531836,-2.754656867
Ba8Hf7Fe1O24,Ba,,,Hf,Fe,,O,4,,,,,,23.50114196,-2.802685903
Ba8Hf7Ni1O24,Ba,,,Hf,Ni,,O,4,,,,,,51.86444618,-2.714421727
Ba8Hf8O24,Ba,,,Hf,,,O,3,,,,,,8.216444,-3.007047017
Ba8Ir8O24,Ba,,,Ir,,,O,3,,,,,,163.2978649,-1.077299988
Ba8Mn1Co7O24,Ba,,,Mn,Co,,O,4,,,,,,129.6015322,-1.216785083
Ba8Mn1Fe7O24,Ba,,,Mn,Fe,,O,4,,,,,,83.56862417,-1.445245331
Ba8Mn1Ni7O24,Ba,,,Mn,Ni,,O,4,,,,,,265.2705921,-0.810370599
Ba8Mn2Co6O24,Ba,,,Mn,Co,,O,4,,,,,,142.3339536,-1.254003094
Ba8Mn2Fe6O24,Ba,,,Mn,Fe,,O,4,,,,,,90.60897065,-1.464366806
Ba8Mn2Zr1Fe5O24,Ba,,,Mn,Zr,Fe,O,5,,,,,,0,-1.975964544
Ba8Mn4Co4O24,Ba,,,Mn,Co,,O,4,,,,,,155.6630465,-1.340574864
Ba8Mn4Fe4O24,Ba,,,Mn,Fe,,O,4,,,,,,100.8156636,-1.506483756
Ba8Mn4Ni4O24,Ba,,,Mn,Ni,,O,4,,,,,,215.60485,-1.139531802
Ba8Mn6Co2O24,Ba,,,Mn,Co,,O,4,,,,,,179.4128893,-1.416725885
Ba8Mn6Ni2O24,Ba,,,Mn,Ni,,O,4,,,,,,185.1978553,-1.356269104
Ba8Mn7Co1O24,Ba,,,Mn,Co,,O,4,,,,,,168.5178267,-1.476970396
Ba8Mn7Fe1O24,Ba,,,Mn,Fe,,O,4,,,,,,157.2429815,-1.517966181
Ba8Mn7Ni1O24,Ba,,,Mn,Ni,,O,4,,,,,,182.0754208,-1.438385255
Ba8Mn8O24,Ba,,,Mn,,,O,3,,,,,,159.4035459,-1.534232156
Ba8Mo8O24,Ba,,,Mo,,,O,3,,,,,,643.729766,-1.164179822
Ba8Nb1Fe7O24,Ba,,,Nb,Fe,,O,4,,,,,,69.43614177,-1.599627038
Ba8Nb2Fe6O24,Ba,,,Nb,Fe,,O,4,,,,,,57.32200585,-1.77815222
Ba8Nb4Co4O24,Ba,,,Nb,Co,,O,4,,,,,,37.9332462,-1.976335692
Ba8Nb4Fe4O24,Ba,,,Nb,Fe,,O,4,,,,,,24.184234,-2.144112084
Ba8Nb4Ni4O24,Ba,,,Nb,Ni,,O,4,,,,,,70.35410236,-1.80763963
Ba8Nb6Fe2O24,Ba,,,Nb,Fe,,O,4,,,,,,24.89260867,-2.308538198
Ba8Nb7Co1O24,Ba,,,Nb,Co,,O,4,,,,,,45.07319863,-2.334486594
Ba8Nb7Fe1O24,Ba,,,Nb,Fe,,O,4,,,,,,25.66391325,-2.35389588
Ba8Nb7Ni1O24,Ba,,,Nb,Ni,,O,4,,,,,,74.77205304,-2.307116704
Ba8Nb8O24,Ba,,,Nb,,,O,3,,,,,,7.667046,-2.393729562
Ba8Ni4Co4O24,Ba,,,Ni,Co,,O,4,,,,,,260.1297372,-0.93619626
Ba8Ni6Co2O24,Ba,,,Ni,Co,,O,4,,,,,,250.2520383,-0.839148979
Ba8Ni7Co1O24,Ba,,,Ni,Co,,O,4,,,,,,245.6924389,-0.790246088
Ba8Ni8O24,Ba,,,Ni,,,O,3,,,,,,271.3193394,-0.711156698
Ba8Os8O24,Ba,,,Os,,,O,3,,,,,,92.45610791,-1.258923595
Ba8Pd8O24,Ba,,,Pd,,,O,3,,,,,,90.40683362,-0.924098966
Ba8Pt8O24,Ba,,,Pt,,,O,3,,,,,,156.6279303,-0.93345629
Ba8Re8O24,Ba,,,Re,,,O,3,,,,,,158.2186323,-1.577268173
Ba8Rh8O24,Ba,,,Rh,,,O,3,,,,,,114.525327,-1.139415902
Ba8Ru8O24,Ba,,,Ru,,,O,3,,,,,,56.67383667,-1.357476705
Ba8Ta1Fe7O24,Ba,,,Ta,Fe,,O,4,,,,,,54.29203205,-1.627573211
Ba8Ta2Fe6O24,Ba,,,Ta,Fe,,O,4,,,,,,27.31353641,-1.833764816
Ba8Ta4Co4O24,Ba,,,Ta,Co,,O,4,,,,,,21.6105345,-2.081274885
Ba8Ta4Fe4O24,Ba,,,Ta,Fe,,O,4,,,,,,0,-2.255396027
Ba8Ta4Ni4O24,Ba,,,Ta,Ni,,O,4,,,,,,88.18349836,-1.917420573
Ba8Ta6Co2O24,Ba,,,Ta,Co,,O,4,,,,,,58.99391702,-2.405697416
Ba8Ta6Fe2O24,Ba,,,Ta,Fe,,O,4,,,,,,121.5710071,-2.359370237
Ba8Ta6Ni2O24,Ba,,,Ta,Ni,,O,4,,,,,,112.0035505,-2.350999135
Ba8Ta7Co1O24,Ba,,,Ta,Co,,O,4,,,,,,109.4739007,-2.432905557
Ba8Ta7Fe1O24,Ba,,,Ta,Fe,,O,4,,,,,,76.60506372,-2.463315342
Ba8Ta7Ni1O24,Ba,,,Ta,Ni,,O,4,,,,,,127.2399666,-2.418641916
Ba8Ta8O24,Ba,,,Ta,,,O,3,,,,,,50.0993,-2.482716948
Ba8Tc8O24,Ba,,,Tc,,,O,3,,,,,,15.621525,-1.675769347
Ba8Ti8O24,Ba,,,Ti,,,O,3,,,,,,19.340972,-2.699870235
Ba8V8O24,Ba,,,V,,,O,3,,,,,,0,-2.161760358
Ba8Y1Fe7O24,Ba,,,Y,Fe,,O,4,,,,,,73.80231391,-1.554715959
Ba8Y2Fe6O24,Ba,,,Y,Fe,,O,4,,,,,,63.15129713,-1.691098562
Ba8Y4Fe4O24,Ba,,,Y,Fe,,O,4,,,,,,64.50496061,-1.941073519
Ba8Y8O24,Ba,,,Y,,,O,3,,,,,,141.6647515,-2.338811432
Ba8Zn1Fe7O24,Ba,,,Zn,Fe,,O,4,,,,,,101.7979903,-1.384754396
Ba8Zn2Fe6O24,Ba,,,Zn,Fe,,O,4,,,,,,128.576453,-1.341876187
Ba8Zn4Fe4O24,Ba,,,Zn,Fe,,O,4,,,,,,197.4213782,-1.240831769
Ba8Zn6Fe2O24,Ba,,,Zn,Fe,,O,4,,,,,,261.7248035,-1.14432885
Ba8Zn8O24,Ba,,,Zn,,,O,3,,,,,,357.1607288,-1.016693432
Ba8Zr1Fe7O24,Ba,,,Zr,Fe,,O,4,,,,,,64.66274573,-1.608532844
Ba8Zr2Fe6O24,Ba,,,Zr,Fe,,O,4,,,,,,53.57771377,-1.790161332
Ba8Zr3Fe1Co4O24,Ba,,,Zr,Fe,Co,O,5,,,,,,74.58610407,-1.840725178
Ba8Zr3Fe1Cu4O24,Ba,,,Zr,Fe,Cu,O,5,,,,,,149.6111673,-1.6591415
Ba8Zr3Fe1Mo4O24,Ba,,,Zr,Fe,Mo,O,5,,,,,,307.8305393,-1.892838178
Ba8Zr3Fe1Ni4O24,Ba,,,Zr,Fe,Ni,O,5,,,,,,140.1344572,-1.631705116
Ba8Zr3Fe5O24,Ba,,,Zr,Fe,,O,4,,,,,,40.02993181,-1.97425257
Ba8Zr3Nb4Fe1O24,Ba,,,Zr,Nb,Fe,O,5,,,,,,10.5881855,-2.543572798
Ba8Zr3Ta4Fe1O24,Ba,,,Zr,Ta,Fe,O,5,,,,,,29.91808225,-2.628216991
Ba8Zr3Zn4Fe1O24,Ba,,,Zr,Zn,Fe,O,5,,,,,,177.6330323,-1.772250483
Ba8Zr4Co4O24,Ba,,,Zr,Co,,O,4,,,,,,92.44931641,-1.989268666
Ba8Zr4Fe4O24,Ba,,,Zr,Fe,,O,4,,,,,,26.88964985,-2.157936308
Ba8Zr4Ni4O24,Ba,,,Zr,Ni,,O,4,,,,,,139.5996837,-1.802351854
Ba8Zr5Fe1Co2O24,Ba,,,Zr,Fe,Co,O,5,,,,,,56.47995687,-2.251472225
Ba8Zr5Fe1Cu2O24,Ba,,,Zr,Fe,Cu,O,5,,,,,,78.02361062,-2.174580886
Ba8Zr5Fe1Mo2O24,Ba,,,Zr,Fe,Mo,O,5,,,,,,130.8614158,-2.33457985
Ba8Zr5Fe1Ni2O24,Ba,,,Zr,Fe,Ni,O,5,,,,,,66.14597382,-2.169529944
Ba8Zr5Nb2Fe1O24,Ba,,,Zr,Nb,Fe,O,5,,,,,,0,-2.66665641
Ba8Zr5Ta2Fe1O24,Ba,,,Zr,Ta,Fe,O,5,,,,,,0,-2.724820006
Ba8Zr5Zn2Fe1O24,Ba,,,Zr,Zn,Fe,O,5,,,,,,79.33429315,-2.243835627
Ba8Zr6Co2O24,Ba,,,Zr,Co,,O,4,,,,,,28.9476692,-2.445411213
Ba8Zr6Fe1Co1O24,Ba,,,Zr,Fe,Co,O,5,,,,,,19.46088327,-2.484811748
Ba8Zr6Fe1Cu1O24,Ba,,,Zr,Fe,Cu,O,5,,,,,,29.16320729,-2.445367204
Ba8Zr6Fe1Mo1O24,Ba,,,Zr,Fe,Mo,O,5,,,,,,53.828979,-2.543998561
Ba8Zr6Fe1Ni1O24,Ba,,,Zr,Fe,Ni,O,5,,,,,,22.64126389,-2.443424858
Ba8Zr6Fe1W1O24,Ba,,,Zr,Fe,W,O,5,,,,,,80.30888725,-2.531540073
Ba8Zr6Fe2O24,Ba,,,Zr,Fe,,O,4,,,,,,0,-2.533946284
Ba8Zr6Nb1Fe1O24,Ba,,,Zr,Nb,Fe,O,5,,,,,,0,-2.719177966
Ba8Zr6Ni2O24,Ba,,,Zr,Ni,,O,4,,,,,,50.49019186,-2.355729182
Ba8Zr6Ta1Fe1O24,Ba,,,Zr,Ta,Fe,O,5,,,,,,0,-2.748226389
Ba8Zr6Zn1Fe1O24,Ba,,,Zr,Zn,Fe,O,5,,,,,,31.12904856,-2.478684074
Ba8Zr7Co1O24,Ba,,,Zr,Co,,O,4,,,,,,0,-2.679306486
Ba8Zr7Fe1O24,Ba,,,Zr,Fe,,O,4,,,,,,0,-2.726921272
Ba8Zr7Ni1O24,Ba,,,Zr,Ni,,O,4,,,,,,0,-2.638521346
Ba8Zr8O24,Ba,,,Zr,,,O,3,,,,,,0,-2.92152626
Bi1Ba3Sr4Fe2Co6O24,Bi,Ba,Sr,Co,Fe,,O,6,,,,,,125.2922076,-1.188308338
Bi2Ba2Sr4Fe2Co6O24,Bi,Ba,Sr,Co,Fe,,O,6,,,,,,126.8818988,-1.12355392
Bi4Pr4Co8O24,Bi,Pr,,Co,,,O,4,,,,,,69.47351553,-1.201756999
Bi4Sr4Fe2Co6O24,Bi,Sr,,Co,Fe,,O,5,,,,,,170.3886173,-0.946845584
Ca2La6Co8O24,Ca,La,,Co,,,O,4,,,,,,50.02545233,-1.693684058
Ca2La6Cr8O24,Ca,La,,Cr,,,O,4,,,,,,0,-2.297925369
Ca2La6Fe8O24,Ca,La,,Fe,,,O,4,,,,,,0,-2.034383841
Ca2La6Ga8O24,Ca,La,,Ga,,,O,4,,,,,,73.97414683,-2.173541276
Ca2La6Mn8O24,Ca,La,,Mn,,,O,4,,,,,,32.78993069,-2.086982891
Ca2La6Ni8O24,Ca,La,,Ni,,,O,4,,,,,,178.0014551,-1.365487683
Ca2La6Sc8O24,Ca,La,,Sc,,,O,4,,,,,,30.46897905,-3.024746263
Ca2La6Ti8O24,Ca,La,,Ti,,,O,4,,,,,,8.970625875,-2.85557872
Ca2La6V8O24,Ca,La,,V,,,O,4,,,,,,33.20006813,-2.380528093
Ca2Pr6Co8O24,Ca,Pr,,Co,,,O,4,,,,,,49.69176246,-1.640763609
Ca2Pr6Cr8O24,Ca,Pr,,Cr,,,O,4,,,,,,13.89243768,-2.16896417
Ca2Pr6Fe8O24,Ca,Pr,,Fe,,,O,4,,,,,,55.47285962,-1.918872892
Ca2Pr6Ga8O24,Ca,Pr,,Ga,,,O,4,,,,,,132.7738634,-2.055867827
Ca2Pr6Mn8O24,Ca,Pr,,Mn,,,O,4,,,,,,33.27336669,-2.038203692
Ca2Pr6Ni8O24,Ca,Pr,,Ni,,,O,4,,,,,,169.7197653,-1.320515234
Ca2Pr6Sc8O24,Ca,Pr,,Sc,,,O,4,,,,,,81.03949818,-2.920140564
Ca2Pr6Ti8O24,Ca,Pr,,Ti,,,O,4,,,,,,19.2994335,-2.778831272
Ca2Pr6V8O24,Ca,Pr,,V,,,O,4,,,,,,8.630709047,-2.312405894
Ca2Y6Co8O24,Ca,Y,,Co,,,O,4,,,,,,62.32476733,-1.715660394
Ca2Y6Cr8O24,Ca,Y,,Cr,,,O,4,,,,,,43.46433055,-2.242836205
Ca2Y6Fe8O24,Ca,Y,,Fe,,,O,4,,,,,,45.6348093,-1.982846177
Ca2Y6Ga8O24,Ca,Y,,Ga,,,O,4,,,,,,139.0621585,-2.124650112
Ca2Y6Mn8O24,Ca,Y,,Mn,,,O,4,,,,,,38.19251136,-2.098369227
Ca2Y6Ni8O24,Ca,Y,,Ni,,,O,4,,,,,,123.8495201,-1.453915269
Ca2Y6Sc8O24,Ca,Y,,Sc,,,O,4,,,,,,84.87592237,-2.982486099
Ca2Y6Ti8O24,Ca,Y,,Ti,,,O,4,,,,,,17.00030381,-2.846387307
Ca2Y6V8O24,Ca,Y,,V,,,O,4,,,,,,0,-2.439623429
Ca4Ba4Co4Ni4O24,Ca,Ba,,Co,Ni,,O,5,,,,,,292.3906631,-0.945009039
Ca4Ba4Co6Ni2O24,Ca,Ba,,Co,Ni,,O,5,,,,,,235.4092249,-1.05204557
Ca4Ba4Co7Ni1O24,Ca,Ba,,Co,Ni,,O,5,,,,,,220.0033808,-1.092478961
Ca4Ba4Fe1Co7O24,Ca,Ba,,Fe,Co,,O,5,,,,,,196.0741586,-1.173814137
