Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,Empty,Empty,Empty,Empty,Empty,energy_above_hull (meV/atom),formation_energy (eV/atom)
Ba4Ba4Mn2Fe6O24,Ba,Ba,,Mn,Fe,,O,5,,,,,,271.9065975,-0.931270106
Ba4Bi4Fe8O24,Ba,Bi,,Fe,,,O,4,,,,,,187.3910463,-1.093093684
Ba4Bi4Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,,,,,,138.8928547,-2.19333335
Ba4Ca4Co4Ni4O24,Ba,Ca,,Co,Ni,,O,5,,,,,,296.0959131,-0.941303789
Ba4Ca4Co6Ni2O24,Ba,Ca,,Co,Ni,,O,5,,,,,,247.6849749,-1.03976982
Ba4Ca4Co7Ni1O24,Ba,Ca,,Co,Ni,,O,5,,,,,,212.7566308,-1.099725711
Ba4Ca4Fe1Co7O24,Ba,Ca,,Fe,Co,,O,5,,,,,,187.8944086,-1.181993887
Ba4Ca4Fe1Ni7O24,Ba,Ca,,Fe,Ni,,O,5,,,,,,332.2121369,-0.817964403
Ba4Ca4Fe2Co6O24,Ba,Ca,,Fe,Co,,O,5,,,,,,205.5640304,-1.196702672
Ba4Ca4Fe2Ni6O24,Ba,Ca,,Fe,Ni,,O,5,,,,,,317.3568714,-0.902576579
Ba4Ca4Fe8O24,Ba,Ca,,Fe,,,O,4,,,,,,163.1857492,-1.413634135
Ba4Ca4Mn1Co7O24,Ba,Ca,,Mn,Co,,O,5,,,,,,180.6609581,-1.206799362
Ba4Ca4Mn1Ni7O24,Ba,Ca,,Mn,Ni,,O,5,,,,,,349.6054051,-0.823979378
Ba4Ca4Mn2Co6O24,Ba,Ca,,Mn,Co,,O,5,,,,,,197.1241296,-1.240286623
Ba4Ca4Mn2Ni6O24,Ba,Ca,,Mn,Ni,,O,5,,,,,,346.0879077,-0.920662029
Ba4Ca4Mn4Co4O24,Ba,Ca,,Mn,Co,,O,5,,,,,,195.6727542,-1.340436893
Ba4Ca4Mn4Ni4O24,Ba,Ca,,Mn,Ni,,O,5,,,,,,313.7228806,-1.122276581
Ba4Ca4Mn6Co2O24,Ba,Ca,,Mn,Co,,O,5,,,,,,198.5926738,-1.432124414
Ba4Ca4Mn6Fe2O24,Ba,Ca,,Mn,Fe,,O,5,,,,,,192.0104175,-1.503463485
Ba4Ca4Mn6Ni2O24,Ba,Ca,,Mn,Ni,,O,5,,,,,,234.968862,-1.345693133
Ba4Ca4Mn7Co1O24,Ba,Ca,,Mn,Co,,O,5,,,,,,206.6101336,-1.471410675
Ba4Ca4Mn7Fe1O24,Ba,Ca,,Mn,Fe,,O,5,,,,,,192.7127554,-1.51768646
Ba4Ca4Mn7Ni1O24,Ba,Ca,,Mn,Ni,,O,5,,,,,,213.3332277,-1.439660034
Ba4Ca4Ni4Co4O24,Ba,Ca,,Ni,Co,,O,5,,,,,,330.9399131,-0.906459789
Ba4Ca4Ni6Co2O24,Ba,Ca,,Ni,Co,,O,5,,,,,,364.7071013,-0.822637508
Ba4Ca4Ni7Co1O24,Ba,Ca,,Ni,Co,,O,5,,,,,,354.7377519,-0.779144367
Ba4Cd4Fe8O24,Ba,Cd,,Fe,,,O,4,,,,,,278.9846652,-0.909699185
Ba4Cd4Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,,,,,,98.58075515,-2.235525477
Ba4Cd4Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,,,,,,151.5536712,-2.164019601
Ba4Ce4Mn8O24,Ba,Ce,,Mn,,,O,4,,,,,,119.1141677,-1.93635119
Ba4Dy4Fe8O24,Ba,Dy,,Fe,,,O,4,,,,,,236.1773154,-1.617726328
Ba4Dy4Mn8O24,Ba,Dy,,Mn,,,O,4,,,,,,137.4087125,-1.853918878
Ba4Er4Mn8O24,Ba,Er,,Mn,,,O,4,,,,,,150.9998764,-1.850509856
Ba4Gd4Co8O24,Ba,Gd,,Co,,,O,4,,,,,,130.5973922,-1.453169088
Ba4Gd4Fe8O24,Ba,Gd,,Fe,,,O,4,,,,,,108.6668547,-1.714409621
Ba4Gd4Mn8O24,Ba,Gd,,Mn,,,O,4,,,,,,105.6931653,-1.838973671
Ba4Ho4Fe8O24,Ba,Ho,,Fe,,,O,4,,,,,,254.2650505,-1.60510872
Ba4Ho4Mn8O24,Ba,Ho,,Mn,,,O,4,,,,,,144.1945715,-1.85219302
Ba4La1Mn8Zn3O24,Ba,La,Zn,Mn,,,O,5,,,,,,244.5589337,-1.296833575
Ba4La1Zn3Co8O24,Ba,La,Zn,Co,,,O,5,,,,,,259.7211261,-0.920564492
Ba4La1Zn3Fe8O24,Ba,La,Zn,Fe,,,O,5,,,,,,253.5848549,-1.157166775
Ba4La1Zn3Ni8O24,Ba,La,Zn,Ni,,,O,5,,,,,,0,-1.221324367
Ba4La4Co8O24,Ba,La,,Co,,,O,4,,,,,,117.6505299,-1.463276636
Ba4La4Cr8O24,Ba,La,,Cr,,,O,4,,,,,,62.16796594,-2.053322947
Ba4La4Fe6Co2O24,Ba,La,,Fe,Co,,O,5,,,,,,106.616452,-1.678054099
Ba4La4Fe8O24,Ba,La,,Fe,,,O,4,,,,,,3.608107346,-1.824342919
Ba4La4Ga8O24,Ba,La,,Ga,,,O,4,,,,,,169.7693805,-1.931469354
Ba4La4Mn8O24,Ba,La,,Mn,,,O,4,,,,,,78.00949578,-1.88783422
Ba4La4Ni8O24,Ba,La,,Ni,,,O,4,,,,,,210.8089291,-1.115862261
Ba4La4Sc8O24,Ba,La,,Sc,,,O,4,,,,,,42.29589311,-2.806273091
Ba4La4Ti8O24,Ba,La,,Ti,,,O,4,,,,,,13.80460838,-2.789404549
Ba4La4V8O24,Ba,La,,V,,,O,4,,,,,,79.64651974,-2.233025421
Ba4Mg4Fe8O24,Ba,Mg,,Fe,,,O,4,,,,,,408.4885862,-1.117797642
Ba4Nd4Fe8O24,Ba,Nd,,Fe,,,O,4,,,,,,122.3896631,-1.680338308
Ba4Nd4Mn8O24,Ba,Nd,,Mn,,,O,4,,,,,,93.96023403,-1.848628108
Ba4Pr4Co8O24,Ba,Pr,,Co,,,O,4,,,,,,113.9014866,-1.431522921
Ba4Pr4Cr8O24,Ba,Pr,,Cr,,,O,4,,,,,,100.4401946,-1.955067232
Ba4Pr4Fe8O24,Ba,Pr,,Fe,,,O,4,,,,,,78.18172235,-1.716439704
Ba4Pr4Ga8O24,Ba,Pr,,Ga,,,O,4,,,,,,234.8007094,-1.827519139
Ba4Pr4Hf4Co4O24,Ba,Pr,,Hf,Co,,O,5,,,,,,99.7625282,-2.305075518
Ba4Pr4Hf4Fe4O24,Ba,Pr,,Hf,Fe,,O,5,,,,,,0,-2.572224659
Ba4Pr4Hf4Ni4O24,Ba,Pr,,Hf,Ni,,O,5,,,,,,230.9219046,-2.073805955
Ba4Pr4Hf6Co2O24,Ba,Pr,,Hf,Co,,O,5,,,,,,48.46453063,-2.742728066
Ba4Pr4Hf6Fe2O24,Ba,Pr,,Hf,Fe,,O,5,,,,,,139.7631331,-2.685304137
Ba4Pr4Hf6Ni2O24,Ba,Pr,,Hf,Ni,,O,5,,,,,,140.5385504,-2.611074285
Ba4Pr4Hf7Co1O24,Ba,Pr,,Hf,Co,,O,5,,,,,,185.5245423,-2.775608965
Ba4Pr4Hf7Fe1O24,Ba,Pr,,Hf,Fe,,O,5,,,,,,197.2462569,-2.763887251
Ba4Pr4Hf7Ni1O24,Ba,Pr,,Hf,Ni,,O,5,,,,,,229.0646829,-2.732068825
Ba4Pr4Mn6Co2O24,Ba,Pr,,Mn,Co,,O,5,,,,,,86.53565683,-1.752565983
Ba4Pr4Mn6Cu2O24,Ba,Pr,,Mn,Cu,,O,5,,,,,,132.1090243,-1.659871144
Ba4Pr4Mn6Fe2O24,Ba,Pr,,Mn,Fe,,O,5,,,,,,80.45910798,-1.831687054
Ba4Pr4Mn6Ni2O24,Ba,Pr,,Mn,Ni,,O,5,,,,,,112.573845,-1.676472702
Ba4Pr4Mn8O24,Ba,Pr,,Mn,,,O,4,,,,,,53.54285953,-1.880636254
Ba4Pr4Nb4Co4O24,Ba,Pr,,Nb,Co,,O,5,,,,,,52.02867683,-2.18843454
Ba4Pr4Nb4Fe4O24,Ba,Pr,,Nb,Fe,,O,5,,,,,,42.1689745,-2.257611932
Ba4Pr4Nb4Ni4O24,Ba,Pr,,Nb,Ni,,O,5,,,,,,134.5064424,-2.015248478
